,Author,Document title,Abstract,Year,Original scale name,Category,Item content,tokens,tokens_nouns,tokens_nouns__unique_list,tokens_nouns__unique,qwen_embeddings,qwen_embeddings_raw,group,cluster,dim1,dim2
10,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,a woman to be truly womanly should gracefully accept chivalrous attentions from men,"['woman', 'truly', 'womanly', 'gracefully', 'accept', 'chivalrous', 'attention', 'man']","['woman', 'chivalrous', 'attention', 'man']","['woman', 'chivalrous', 'man', 'attention']",woman chivalrous man attention,"[ 3.73978972 -1.42898107  1.40878522 ... -0.97012967 -1.5678854
  1.13988268]","[ 2.76464653 -0.58161956  1.31745636 ... -0.13710608  0.40991557
  0.9318428 ]",0.0,0,-25.927498,-17.41489
11,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,it is absurd to regard obedience as a wifely virtue,"['absurd', 'regard', 'obedience', 'wifely', 'virtue']","['absurd', 'obedience', 'wifely', 'virtue']","['obedience', 'absurd', 'virtue', 'wifely']",obedience absurd virtue wifely,"[ 0.49752188  0.58074343  3.05204773 ... -0.53117251 -0.80198449
  1.00681865]","[ 2.28326702 -1.173563    2.94689941 ... -0.58852786 -0.70433593
  0.31798202]",0.0,1,24.136776,-21.667004
12,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,"the ""clinging vine"" wife is justified provided she clings sweetly enough to please her husband","['cling', 'vine', 'wife', 'justify', 'provide', 'cling', 'sweetly', 'enough', 'please', 'husband']","['vine', 'wife', 'husband']","['husband', 'wife', 'vine']",husband wife vine,"[ 1.38429916  0.85985065  2.6588068  ... -0.64317834 -1.14974821
  0.48000243]","[ 1.13093674 -2.26379752  2.60510516 ... -1.46194983 -0.63955265
  0.64511842]",0.0,1,10.1166525,-49.647217
13,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,"realistically speaking, most progress so far has been made by men and we can expect it to continue that way","['realistically', 'speak', 'progress', 'far', 'make', 'man', 'expect', 'continue', 'way']","['progress', 'man', 'way']","['man', 'progress', 'way']",man progress way,"[ 0.95597553  0.09458533 -0.08594843 ...  0.16380154 -0.32041287
  0.92103344]","[-0.08108162 -1.62158513 -0.32615149 ...  1.17890561 -0.86594003
  2.78052807]",0.0,8,-14.66994,9.436931
14,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,one should never trust a woman's account of another woman,"['never', 'trust', 'woman', 'account', 'woman']","['woman', 'account', 'woman']","['woman', 'account']",woman account,"[ 5.42190027 -2.78730917  1.68556535 ... -3.39621425 -1.91638446
  2.36330247]","[ 2.22160077 -0.43869132  2.78996682 ...  1.32474601 -1.24192643
  1.1629684 ]",0.0,4,-40.54784,2.5052657
15,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,it is desirable that women be appointed to police forces with the same duties as men,"['desirable', 'woman', 'appoint', 'police', 'force', 'duty', 'man']","['desirable', 'woman', 'police', 'force', 'duty', 'man']","['woman', 'duty', 'force', 'desirable', 'man', 'police']",woman duty force desirable man police,"[-0.42754346  4.49742174 -0.79961675 ...  0.57686663 -0.93137389
 -0.88393164]","[-2.32422209  1.76905119 -1.92793691 ...  0.41475484 -2.3550899
 -1.02154851]",0.0,0,-16.401743,-18.473524
16,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,women are basically more unpredictable than men,"['woman', 'basically', 'unpredictable', 'man']","['woman', 'unpredictable', 'man']","['woman', 'man', 'unpredictable']",woman man unpredictable,"[ 3.30879211 -0.67905474  1.13265753 ...  0.02061511  0.49805814
 -0.57935816]","[ 1.08044362  0.23615354  1.15358484 ... -0.21132052 -1.81220448
  0.64611858]",0.0,0,-23.562155,-15.597603
17,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,"it is all right for women to work but men will always be, the basic breadwinners","['right', 'woman', 'work', 'man', 'always', 'basic', 'breadwinner']","['right', 'woman', 'man', 'basic', 'breadwinner']","['woman', 'right', 'breadwinner', 'man', 'basic']",woman right breadwinner man basic,"[ 2.74777031  2.53798175 -0.67523336 ... -1.01511538  0.91185576
  1.05936468]","[ 3.79138446  2.12071776 -0.53846341 ... -0.70285058  0.43860978
 -0.14576414]",0.0,10,0.56203485,-42.630077
18,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,a woman should not expect to go to the same places or have the same freedom of action as a man,"['woman', 'expect', 'go', 'place', 'freedom', 'action', 'man']","['woman', 'place', 'freedom', 'action', 'man']","['freedom', 'woman', 'place', 'man', 'action']",freedom woman place man action,"[ 1.92323613  2.45645142  4.13703966 ...  1.00785542 -0.68235946
  2.77545238]","[ 1.18110454  1.06204343  3.83714008 ...  0.8408941  -1.15903544
  1.15000653]",0.0,0,-27.990398,-20.990894
19,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,profanity sounds worse generally coming from a woman,"['profanity', 'sound', 'bad', 'generally', 'come', 'woman']","['profanity', 'bad', 'woman']","['woman', 'profanity', 'bad']",woman profanity bad,"[-0.53453511  1.29998159  0.72604543 ... -1.90553653  0.62652606
  1.10686862]","[ 1.19150019 -0.55831236  4.30057526 ... -0.90419406 -0.98788655
  1.38447762]",0.0,0,-33.41484,-15.751911
20,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,parental authority and responsibility for the discipline of the children should be equally divided between husband and wife,"['parental', 'authority', 'responsibility', 'discipline', 'child', 'equally', 'divide', 'husband', 'wife']","['parental', 'authority', 'responsibility', 'discipline', 'child', 'husband', 'wife']","['child', 'husband', 'parental', 'wife', 'authority', 'discipline', 'responsibility']",child husband parental wife authority discipline responsibility,[2.99093676 1.40838766 4.48424006 ... 0.09560928 0.07903716 0.74363172],"[ 0.39461565  2.39476967  0.96211159 ... -0.15040904 -0.52687627
  2.70287085]",0.0,1,13.690431,-46.146362
21,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,no woman is too cultured to take complete responsibility of housework,"['woman', 'cultured', 'take', 'complete', 'responsibility', 'housework']","['woman', 'cultured', 'complete', 'responsibility', 'housework']","['woman', 'housework', 'cultured', 'complete', 'responsibility']",woman housework cultured complete responsibility,"[ 3.96797729  3.40985513 -0.02789891 ... -1.81446719 -2.23656678
  0.14763288]","[ 3.93059468  1.19210327 -1.68709671 ... -3.8666048  -4.54187489
 -1.40103734]",0.0,10,14.73937,-36.184616
22,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,it is unjust to say that women think in more personal terms than men do,"['unjust', 'say', 'woman', 'think', 'personal', 'term', 'man']","['unjust', 'woman', 'personal', 'term', 'man']","['personal', 'woman', 'unjust', 'man', 'term']",personal woman unjust man term,"[ 1.6782136   2.35055184  0.68925369 ... -0.65092993 -1.40034211
  0.95415783]","[ 2.26225042 -0.40037042 -1.00048983 ... -0.69453913 -1.46397853
  1.91149867]",0.0,0,0.10632265,17.170301
23,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,in reality most men are at least unconscious sexists,"['reality', 'man', 'least', 'unconscious', 'sexist']","['reality', 'man', 'least', 'unconscious', 'sexist']","['reality', 'unconscious', 'sexist', 'man', 'least']",reality unconscious sexist man least,"[ 0.45854133  0.896061    0.10517719 ... -1.17183721  0.75042051
  0.38217783]","[ 1.51132727  1.16747844  3.95450091 ...  1.26598191 -1.78570044
 -0.19701497]",0.0,2,1.0016521,39.917408
24,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,"women are fine, but all in all, men can only relax in the company of other men","['woman', 'fine', 'man', 'relax', 'company', 'man']","['woman', 'fine', 'man', 'company', 'man']","['woman', 'man', 'fine', 'company']",woman man fine company,"[ 3.61787963 -0.44741851  0.20989208 ...  1.65126526 -2.48887134
 -1.35734046]","[ 2.28550386  1.69048953  0.45834488 ...  1.89498389 -1.92907
 -0.17295992]",0.0,0,-39.85781,16.224611
25,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,a woman doesn’t have to learn how to be a mother-she has an instinct for it,"['woman', 'learn', 'mother', 'instinct']","['woman', 'mother', 'instinct']","['woman', 'instinct', 'mother']",woman instinct mother,"[ 1.24898708 -0.79169768  0.39416623 ... -1.11503124  0.06483936
  1.68085015]","[ 1.77258873 -1.55983365  0.08335081 ... -2.61673999 -0.47600961
 -0.07066668]",0.0,1,1.0879161,-22.247538
26,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,men and women should be paid the same for the same work regardless of whether or not they have a family to support,"['man', 'woman', 'pay', 'work', 'regardless', 'family', 'support']","['man', 'woman', 'work', 'family']","['woman', 'man', 'work', 'family']",woman man work family,"[ 2.12875557  3.8935101   0.99761599 ...  2.29755735 -2.3572464
  1.88787878]","[ 2.85674882  2.2552228   1.55756068 ... -0.96491849  0.67343521
 -1.29426861]",0.0,8,-7.1254554,-9.773012
27,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,perceived level of commitment to the women's movement,feminism,i would be willing to participate in local community activities on behalf of the women's movement,"['would', 'willing', 'participate', 'local', 'community', 'activity', 'behalf', 'woman', 'movement']","['willing', 'local', 'community', 'activity', 'behalf', 'woman', 'movement']","['behalf', 'woman', 'movement', 'local', 'community', 'willing', 'activity']",behalf woman movement local community willing activity,"[ 1.34450758  3.17908621  0.35371271 ... -0.9992646   0.24133055
  1.4486264 ]","[-0.45710847  2.66444898 -0.14109027 ...  2.33336663  0.70348108
  2.55951405]",0.0,3,46.03167,27.660528
28,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,perceived level of commitment to the women's movement,feminism,i would be willing to attend a presentation to hear a guest speaker address issues on behalf of the women's movement,"['would', 'willing', 'attend', 'presentation', 'hear', 'guest', 'speaker', 'address', 'issue', 'behalf', 'woman', 'movement']","['willing', 'presentation', 'guest', 'speaker', 'address', 'issue', 'behalf', 'woman', 'movement']","['issue', 'behalf', 'speaker', 'woman', 'movement', 'presentation', 'guest', 'address', 'willing']",issue behalf speaker woman movement presentation guest address willing,"[-0.91434175 -0.0200852   0.38147768 ... -1.68521118 -0.39992496
  0.98434973]",[0.26867449 1.88725746 0.20206189 ... 1.68537092 0.38605833 3.53787947],0.0,3,45.606102,27.44315
29,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,perceived level of commitment to the women's movement,feminism,i would be willing to sign a petition on behalf of the women's movement,"['would', 'willing', 'sign', 'petition', 'behalf', 'woman', 'movement']","['willing', 'petition', 'behalf', 'woman', 'movement']","['behalf', 'woman', 'movement', 'petition', 'willing']",behalf woman movement petition willing,"[-0.04862889  1.91337204  0.1618391  ...  0.07408775 -0.67576742
  1.01837337]",[0.47297218 2.46909022 0.78898579 ... 2.20510936 0.15637736 3.2444725 ],0.0,3,45.522457,27.945253
30,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,perceived level of commitment to the women's movement,feminism,i would be unwilling to do any of the options previously listed,"['would', 'unwilling', 'option', 'previously', 'list']","['unwilling', 'option']","['option', 'unwilling']",option unwilling,"[ 1.62861586 -0.31391469 -0.63588184 ...  1.22924864 -0.16079868
  0.63958281]","[ 2.37647843  0.92101264 -2.05503178 ... -1.01897562 -0.84896922
 -0.18697132]",0.0,8,-4.2272506,-0.22656116
31,"Lee, Dong Yul;Gee, Angela;Uhlemann, Max R.",Perception of clients' presenting concern as a function of counsellor-trainees' endorsement of feminism.,"The present study asked the following question: Do novice clinicians' attitudes toward feminism influence their perception of the client's problem? It was predicted that for female clients, the degree to which counsellor-trainees endorse feminist attitudes is related to the attribution of causes, prognosis, and perceived counsellor understanding. After completing a scale assessing their endorsement of feminist attitudes, 150 counsellor-trainees (aged 25â€“55 yrs) viewed 1 of 2 videotaped counselling interviews in which a male counsellor interviewed a male or a female client about his or her presenting concern of depression. The counsellor-trainees were then asked to indicate their perceptions of the client's problem. The results show no significant effect of counsellor-trainees feminist attitudes on their perception of clients' presenting problem of depression. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2000,attitudes toward feminism and the women's movement (FWM),feminism,"the leaders of the women’s movement may be extreme, but they have the right idea","['leader', 'woman', 'movement', 'may', 'extreme', 'right', 'idea']","['leader', 'woman', 'movement', 'extreme', 'right', 'idea']","['idea', 'woman', 'movement', 'right', 'leader', 'extreme']",idea woman movement right leader extreme,"[ 3.05236602  2.15451956  0.46071085 ... -0.42269108 -0.78484887
  2.30686307]","[ 1.87486875 -0.55900645 -0.73252827 ... -0.4485679   0.79173672
  0.19876005]",0.0,8,-23.897573,5.045332
